Priority comparison: PW vs TTC (10000p_150d)
Sorted by priority descending (highest priority number = most important)
Patient ID   PW    TTC    Priority  Verdict
      4161    Y      Y        9120   both
      6941    Y      Y        9119   both
      3170    Y      Y        9118   both
      9097    Y      Y        9117   both
      2560    Y      Y        9116   both
      7875    Y      Y        9115   both
      1556    Y      Y        9114   both
      7874    Y      Y        9113   both
      8535    Y      Y        9112   both
      2528    Y      Y        9111   both
      2214    Y      Y        9110   both
      6758    Y      Y        9109   both
      6639    Y      Y        9108   both
      9817    Y      Y        9107   both
      1733    Y      Y        9106   both
      4739    Y      Y        9105   both
      3896    Y      Y        9104   both
      7337    Y      Y        9103   both
      6823    Y      Y        9102   both
      8948    Y      Y        9101   both
      6860    Y      Y        9100   both
      1549    Y      Y        9099   both
      5789    Y      Y        9098   both
      9326    Y      Y        9097   both
      3351    Y      Y        9096   both
      8203    Y      Y        9095   both
      6099    Y      Y        9094   both
      1801    Y      Y        9093   both
       799    Y      Y        9092   both
      6268    Y      Y        9091   both
      5563    Y      Y        9090   both
      4720    Y      Y        9089   both
      7355    Y      Y        9088   both
      8043    Y      Y        9087   both
       964    Y      Y        9086   both
       433    Y      Y        9085   both
      3120    Y      Y        9084   both
      9537    Y      Y        9083   both
      8808    Y      Y        9082   both
      6890    Y      Y        9081   both
