Lex comparison: SP vs True — sorted by priority descending
 PatientID     SP   True    Priority     Verdict
        67      Y      N         176      A only
       144      N      N         175     neither
       672      Y      N         174      A only
       362      Y      N         173      A only
       311      N      N         172     neither
       745      Y      Y         171        both
       347      N      N         170     neither
       284      N      N         169     neither
       643      Y      Y         168        both
       260      N      N         167     neither
         7      Y      Y         166        both
       531      N      N         165     neither
       932      N      N         164     neither
       240      N      N         163     neither
        39      N      N         162     neither
        30      N      N         161     neither
        36      N      N         160     neither
       232      Y      Y         159        both
       542      N      N         158     neither
       268      N      N         157     neither
        58      Y      N         156      A only
       633      N      N         155     neither
       269      N      N         154     neither
       202      N      N         153     neither
       830      N      N         152     neither
       195      Y      Y         151        both
       652      N      N         150     neither
       935      Y      N         149      A only
       620      N      N         148     neither
       855      Y      Y         147        both
       607      N      N         146     neither
        64      N      N         145     neither
       936      Y      N         144      A only
         8      N      N         143     neither
       776      N      N         142     neither
       584      Y      N         141      A only
         5      Y      N         140      A only
       547      Y      N         139      A only
        34      N      N         138     neither
        90      N      N         137     neither
       447      N      N         136     neither
       967      N      N         135     neither
        76      N      N         134     neither
       158      Y      N         133      A only
       105      Y      N         131      A only
        70      N      N         130     neither
       113      N      N         129     neither
       938      N      N         128     neither
       412      N      N         127     neither
       693      N      N         126     neither
       844      N      N         125     neither
       592      N      N         124     neither
        66      N      N         123     neither
       603      N      N         122     neither
       653      N      N         121     neither
       569      Y      N         120      A only
       880      N      N         118     neither
       277      Y      N         117      A only
       875      Y      N         116      A only
       614      N      N         115     neither
       220      Y      N         114      A only
       705      N      N         113     neither
       385      N      N         112     neither
       890      N      N         111     neither
        72      Y      N         110      A only
       594      Y      N         109      A only
       443      N      N         108     neither
       375      N      N         107     neither
       570      N      N         106     neither
       961      N      N         105     neither
       807      N      N         104     neither
       646      Y      N         103      A only
       524      Y      Y         102        both
       159      N      N         101     neither
       213      Y      N         100      A only
       956      Y      N          99      A only
       704      N      N          98     neither
       889      N      N          97     neither
       872      N      N          96     neither
       345      N      N          95     neither
        69      Y      N          94      A only
       785      Y      N          93      A only
       436      N      N          92     neither
       425      N      N          91     neither
       613      N      N          90     neither
       623      N      N          89     neither
       252      N      N          88     neither
       981      Y      N          87      A only
       762      N      N          86     neither
       810      N      N          85     neither
       303      N      N          84     neither
       758      N      N          82     neither
       360      N      N          81     neither
       318      Y      N          80      A only
       472      Y      N          79      A only
       510      N      N          78     neither
       781      Y      Y          77        both
       564      N      N          76     neither
       964      N      N          75     neither
        86      Y      N          74      A only
       728      Y      N          72      A only
       118      N      N          71     neither
       992      N      N          70     neither
       612      N      N          69     neither
       713      N      N          68     neither
       593      N      N          67     neither
       582      N      N          66     neither
       281      N      N          65     neither
       681      Y      N          63      A only
       723      Y      Y          62        both
       662      N      N          61     neither
       331      N      N          60     neither
       665      N      N          59     neither
       561      N      N          58     neither
       186      N      N          56     neither
       234      N      N          55     neither
       446      Y      Y          54        both
       423      N      N          53     neither
       604      N      N          52     neither
       621      N      N          51     neither
       273      N      N          50     neither
       995      N      N          49     neither
       236      N      N          48     neither
       142      N      N          47     neither
       962      Y      N          46      A only
       473      N      N          45     neither
        46      N      N          44     neither
       539      Y      Y          43        both
       499      N      N          42     neither
       783      N      N          41     neither
       934      Y      N          40      A only
       583      N      N          39     neither
       121      Y      N          37      A only
       471      N      N          36     neither
       243      Y      N          35      A only
       726      N      N          34     neither
        42      Y      N          33      A only
       205      Y      N          32      A only
       667      N      N          31     neither
        51      N      N          30     neither
       573      N      N          29     neither
       792      Y      N          28      A only
       157      N      N          27     neither
       282      N      N          26     neither
       663      Y      Y          25        both
       460      N      N          24     neither
       686      N      N          23     neither
       167      N      N          22     neither
       168      N      N          21     neither
       478      Y      N          20      A only
       464      N      N          19     neither
       261      N      N          18     neither
       876      Y      Y          16        both
       907      N      N          15     neither
       348      N      N          14     neither
       818      N      N          13     neither
        11      N      N          12     neither
       497      N      N          11     neither
       734      Y      N          10      A only
       468      Y      N           9      A only
